"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"76.","Kick-Ass","7.6","(2010)","117 min","
Action, Comedy, Crime            ","513,301","$48.07M","
    Director:
Matthew Vaughn
                 | 
    Stars:
Aaron Taylor-Johnson, 
Nicolas Cage, 
Chlo<U+00EB> Grace Moretz, 
Garrett M. Brown
    ","
    Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
"77.","Limitless","7.4","(I) (2011)","105 min","
Sci-Fi, Thriller            ","512,731","$79.25M","
    Director:
Neil Burger
                 | 
    Stars:
Bradley Cooper, 
Anna Friel, 
Abbie Cornish, 
Robert De Niro
    ","
    With the help of a mysterious pill that enables the user to access 100% of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers."
"78.","Her","8.0","(2013)","126 min","
Drama, Romance, Sci-Fi            ","510,641","$25.57M","
    Director:
Spike Jonze
                 | 
    Stars:
Joaquin Phoenix, 
Amy Adams, 
Scarlett Johansson, 
Rooney Mara
    ","
    In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
"79.","John Wick","7.4","(2014)","101 min","
Action, Crime, Thriller            ","506,687","$43.04M","
    Directors:
Chad Stahelski, 
David Leitch
                 | 
    Stars:
Keanu Reeves, 
Michael Nyqvist, 
Alfie Allen, 
Willem Dafoe
    ","
    An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him."
"80.","21 Jump Street","7.2","(2012)","109 min","
Action, Comedy, Crime            ","496,137","$138.45M","
    Directors:
Phil Lord, 
Christopher Miller
                 | 
    Stars:
Jonah Hill, 
Channing Tatum, 
Ice Cube, 
Brie Larson
    ","
    A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring."
"81.","The Hateful Eight","7.8","(2015)","168 min","
Crime, Drama, Mystery            ","486,554","$54.12M","
    Director:
Quentin Tarantino
                 | 
    Stars:
Samuel L. Jackson, 
Kurt Russell, 
Jennifer Jason Leigh, 
Walton Goggins
    ","
    In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
"82.","Rise of the Planet of the Apes","7.6","(2011)","105 min","
Action, Drama, Sci-Fi            ","486,160","$176.76M","
    Director:
Rupert Wyatt
                 | 
    Stars:
James Franco, 
Andy Serkis, 
Freida Pinto, 
Karin Konoval
    ","
    A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising."
"83.","Despicable Me","7.6","(2010)","95 min","
Animation, Comedy, Family            ","485,020","$251.51M","
    Directors:
Pierre Coffin, 
Chris Renaud
                 | 
    Stars:
Steve Carell, 
Jason Segel, 
Russell Brand, 
Julie Andrews
    ","
    When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
"84.","Spider-Man: Homecoming","7.4","(2017)","133 min","
Action, Adventure, Sci-Fi            ","481,623","$334.20M","
    Director:
Jon Watts
                 | 
    Stars:
Tom Holland, 
Michael Keaton, 
Robert Downey Jr., 
Marisa Tomei
    ","
    Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
"85.","La La Land","8.0","(2016)","128 min","
Comedy, Drama, Music            ","475,265","$151.10M","
    Director:
Damien Chazelle
                 | 
    Stars:
Ryan Gosling, 
Emma Stone, 
Rosemarie DeWitt, 
J.K. Simmons
    ","
    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
"86.","Oblivion","7.0","(I) (2013)","124 min","
Action, Adventure, Sci-Fi            ","471,267","$89.02M","
    Director:
Joseph Kosinski
                 | 
    Stars:
Tom Cruise, 
Morgan Freeman, 
Andrea Riseborough, 
Olga Kurylenko
    ","
    A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself."
"87.","Source Code","7.5","(2011)","93 min","
Action, Drama, Mystery            ","470,634","$54.71M","
    Director:
Duncan Jones
                 | 
    Stars:
Jake Gyllenhaal, 
Michelle Monaghan, 
Vera Farmiga, 
Jeffrey Wright
    ","
    A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes."
"88.","Pirates of the Caribbean: On Stranger Tides","6.6","(2011)","136 min","
Action, Adventure, Fantasy            ","466,269","$241.06M","
    Director:
Rob Marshall
                 | 
    Stars:
Johnny Depp, 
Pen¨¦lope Cruz, 
Ian McShane, 
Geoffrey Rush
    ","
    Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
"89.","The Great Gatsby","7.2","(2013)","143 min","
Drama, Romance            ","458,162","$144.84M","
    Director:
Baz Luhrmann
                 | 
    Stars:
Leonardo DiCaprio, 
Carey Mulligan, 
Joel Edgerton, 
Tobey Maguire
    ","
    A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
"90.","The Hobbit: The Battle of the Five Armies","7.4","(2014)","144 min","
Adventure, Fantasy            ","458,039","$255.12M","
    Director:
Peter Jackson
                 | 
    Stars:
Ian McKellen, 
Martin Freeman, 
Richard Armitage, 
Cate Blanchett
    ","
    Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness."
"91.","Get Out","7.7","(I) (2017)","104 min","
Horror, Mystery, Thriller            ","457,070","$176.04M","
    Director:
Jordan Peele
                 | 
    Stars:
Daniel Kaluuya, 
Allison Williams, 
Bradley Whitford, 
Catherine Keener
    ","
    A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
"92.","Crazy, Stupid, Love.","7.4","(2011)","118 min","
Comedy, Drama, Romance            ","455,939","$84.35M","
    Directors:
Glenn Ficarra, 
John Requa
                 | 
    Stars:
Steve Carell, 
Ryan Gosling, 
Julianne Moore, 
Emma Stone
    ","
    A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
"93.","Pacific Rim","6.9","(2013)","131 min","
Action, Adventure, Sci-Fi            ","455,841","$101.80M","
    Director:
Guillermo del Toro
                 | 
    Stars:
Idris Elba, 
Charlie Hunnam, 
Rinko Kikuchi, 
Charlie Day
    ","
    As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
"94.","Once Upon a Time... in Hollywood","7.7","(2019)","161 min","
Comedy, Drama            ","455,435","$142.50M","
    Director:
Quentin Tarantino
                 | 
    Stars:
Leonardo DiCaprio, 
Brad Pitt, 
Margot Robbie, 
Emile Hirsch
    ","
    A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles."
"95.","Star Trek Into Darkness","7.7","(2013)","132 min","
Action, Adventure, Sci-Fi            ","455,225","$228.78M","
    Director:
J.J. Abrams
                 | 
    Stars:
Chris Pine, 
Zachary Quinto, 
Zoe Saldana, 
Benedict Cumberbatch
    ","
    After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
"96.","Harry Potter and the Deathly Hallows: Part 1","7.7","(2010)","146 min","
Adventure, Family, Fantasy            ","453,393","$295.98M","
    Director:
David Yates
                 | 
    Stars:
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Bill Nighy
    ","
    As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
"97.","Ex Machina","7.7","(2014)","108 min","
Drama, Mystery, Sci-Fi            ","452,335","$25.44M","
    Director:
Alex Garland
                 | 
    Stars:
Alicia Vikander, 
Domhnall Gleeson, 
Oscar Isaac, 
Sonoya Mizuno
    ","
    A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I."
"98.","The Hangover Part II","6.4","(2011)","102 min","
Comedy            ","450,468","$254.46M","
    Director:
Todd Phillips
                 | 
    Stars:
Bradley Cooper, 
Zach Galifianakis, 
Ed Helms, 
Justin Bartha
    ","
    Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry."
"99.","Deadpool 2","7.7","(2018)","119 min","
Action, Adventure, Comedy            ","447,402","$324.59M","
    Director:
David Leitch
                 | 
    Stars:
Ryan Reynolds, 
Josh Brolin, 
Morena Baccarin, 
Julian Dennison
    ","
    Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
"100.","Mission: Impossible - Ghost Protocol","7.4","(2011)","132 min","
Action, Adventure, Thriller            ","443,758","$209.40M","
    Director:
Brad Bird
                 | 
    Stars:
Tom Cruise, 
Jeremy Renner, 
Simon Pegg, 
Paula Patton
    ","
    The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
"101.","The Perks of Being a Wallflower","8.0","(2012)","103 min","
Drama, Romance            ","443,157","$17.74M","
    Director:
Stephen Chbosky
                 | 
    Stars:
Logan Lerman, 
Emma Watson, 
Ezra Miller, 
Paul Rudd
    ","
    An introvert freshman is taken under the wings of two seniors who welcome him to the real world."
"102.","Nightcrawler","7.9","(2014)","117 min","
Crime, Drama, Thriller            ","437,504","$32.38M","
    Director:
Dan Gilroy
                 | 
    Stars:
Jake Gyllenhaal, 
Rene Russo, 
Bill Paxton, 
Riz Ahmed
    ","
    When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
"103.","American Hustle","7.2","(2013)","138 min","
Crime, Drama            ","435,069","$150.12M","
    Director:
David O. Russell
                 | 
    Stars:
Christian Bale, 
Amy Adams, 
Bradley Cooper, 
Jennifer Lawrence
    ","
    A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
"104.","It","7.3","(I) (2017)","135 min","
Horror            ","431,563","$327.48M","
    Director:
Andy Muschietti
                 | 
    Stars:
Bill Skarsg<U+00E5>rd, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis
    ","
    In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
"105.","Blade Runner 2049","8.0","(2017)","164 min","
Action, Drama, Mystery            ","427,546","$92.05M","
    Director:
Denis Villeneuve
                 | 
    Stars:
Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista
    ","
    Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
"106.","Lucy","6.4","(I) (2014)","89 min","
Action, Sci-Fi, Thriller            ","426,013","$126.66M","
    Director:
Luc Besson
                 | 
    Stars:
Scarlett Johansson, 
Morgan Freeman, 
Min-sik Choi, 
Amr Waked
    ","
    A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
"107.","The Conjuring","7.5","(2013)","112 min","
Horror, Mystery, Thriller            ","422,918","$137.40M","
    Director:
James Wan
                 | 
    Stars:
Patrick Wilson, 
Vera Farmiga, 
Ron Livingston, 
Lili Taylor
    ","
    Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse."
"108.","Dallas Buyers Club","8.0","(2013)","117 min","
Biography, Drama            ","422,853","$27.30M","
    Director:
Jean-Marc Vall¨¦e
                 | 
    Stars:
Matthew McConaughey, 
Jennifer Garner, 
Jared Leto, 
Steve Zahn
    ","
    In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
